"Name","Country","Age","Height","Weight","Sex","DOB","PlaceOB","Gold","Silver","Bronze","Total","Sport","Event"
"Wouter Brus","Netherlands",20,1.8,77,"M",NA,"Groningen (NED)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"Bob Bryan","United States of America",34,1.91,88,"M",NA,"",0,0,0,0,"Tennis","Men's Doubles, Mixed Doubles"
"Mike Bryan","United States of America",34,1.91,84,"M",NA,"",0,0,0,0,"Tennis","Men's Doubles, Mixed Doubles"
"Kelci Bryant","United States of America",23,1.63,61,"F",NA,"Chatham (USA)",0,1,0,1,"Diving","Women's Synchronised 3m Springboard"
"Kobe Bryant","United States of America",33,1.98,93,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Karina Bryant","Great Britain",33,1.84,103,"F",NA,"Kingston Upon Thames (GBR)",0,0,1,1,"Judo","Women's +78kg"
"Ole Kristian Bryhn","Norway",23,NA,NA,"M",1989-01-05,"Drammen (NOR)",0,0,0,0,"Shooting","Men's 50m Rifle 3 Positions"
"Alexander Bryukhankov","Russian Federation",25,1.86,76,"M",1987-12-04,"Yaroslavl Region (RUS)",0,0,0,0,"Triathlon","Men's Triathlon"
"Elyzaveta Bryzgina","Ukraine",22,1.72,56,"F",NA,"LUGANS'K (UKR)",0,0,0,0,"Athletics","Women's 200m, Women's 4 x 100m Relay"
"Marcin Brzezinski","Poland",28,1.94,98,"M",1984-06-01,"",0,0,0,0,"Rowing","Men's Eight"
"Piotr Brzozka","Poland",22,1.74,64,"M",NA,"RYDULTOWY (POL)",0,0,0,0,"Cyclng-MntnB","Men's Cross-country"
"Ashley Brzozowicz","Canada",29,1.77,76,"F",NA,"",0,1,0,1,"Rowing","Women's Eight"
"Matelita Buadromo","Fiji",16,1.65,56,"F",NA,"Suva (FIJ)",0,0,0,0,"Swimming","Women's 100m Breaststroke"
"Keerati Bualong","Thailand",19,1.8,75,"M",1992-06-12,"NAKHON PHANOM (THA)",0,0,0,0,"Sailing","Men's Laser"
"Andreas Bube","Denmark",25,1.77,65,"M",NA,"Gladsaxe (DEN)",0,0,0,0,"Athletics","Men's 800m"
"Vitali Bubnovich","Belarus",37,1.69,67,"M",1974-12-11,"Grodno (BLR)",0,0,0,0,"Shooting","Men's 10m Air Rifle, Men's 50m Rifle 3 Positions"
"Caroline Buchanan","Australia",21,1.65,68,"F",NA,"Canberra (AUS)",0,0,0,0,"Cycling-BMX","Women's BMX"
"Rushlee Buchanan","New Zealand",24,1.7,63,"F",NA,"Hamilton (NZL)",0,0,0,0,"Cycling-Trck","Women's Team Pursuit"
"Ralf Buchheim","Germany",28,1.83,70,"M",1983-10-10,"FRANKFURT/ODER (GER)",0,0,0,0,"Shooting","Men's Skeet"
"Nicole Buchler","Switzerland",28,1.62,55,"F",NA,"Biel (SUI)",0,0,0,0,"Athletics","Women's Pole Vault"
"Richard Buck","Great Britain",25,1.88,80,"M",NA,"GRIMSBY (GBR)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"Brodie Buckland","Australia",28,1.96,98,"M",1983-12-12,"",0,0,0,0,"Rowing","Men's Pair"
"Zoe Buckman","Australia",23,1.68,50,"F",NA,"Grafton (AUS)",0,0,0,0,"Athletics","Women's 1500m"
"Shea Buckner","United States of America",25,1.93,98,"M",1986-12-12,"Huntington Beach (USA)",0,0,0,0,"Water Polo","Men's Water Polo"
"Serhiy Budza","Ukraine",27,1.8,70,"M",1984-06-12,"VINNYTSA REGION (UKR)",0,0,0,0,"Athletics","Men's 50km Race Walk"
"Kamil Budziejewski","Poland",23,NA,NA,"M",NA,"ZYRARDOW (POL)",0,0,0,0,"Athletics","Men's 4 x 400m Relay"
"Rachel Buehler","United States of America",26,1.65,65,"F",NA,"",0,0,0,0,"Football","Women's Football"
"Marcel Buerge","Switzerland",40,1.8,90,"M",NA,"ARBON (SUI)",0,0,0,0,"Shooting","Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
"Roman Buerki","Switzerland",21,1.87,83,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Oliver Buff","Switzerland",20,1.76,68,"M",1992-03-08,"",0,0,0,0,"Football","Men's Football"
"Romain Buffet","France",27,1.92,90,"M",1985-04-02,"Rouen (FRA)",0,0,0,0,"Judo","Men's -90kg"
"Rachel Bugg","Australia",23,1.59,56,"F",1989-07-03,"BELAIR (AUS)",0,0,0,0,"Diving","Women's Synchronised 10m Platform"
"Abdul Buhari","Great Britain",30,1.92,125,"M",NA,"KANO (NGR)",0,0,0,0,"Athletics","Men's Discus Throw"
"Matthias Buhler","Germany",25,1.89,77,"M",1986-02-09,"Lahr (GER)",0,0,0,0,"Athletics","Men's 110m Hurdles"
"Kim Bui","Germany",23,1.55,NA,"F",NA,"TUBINGEN (GER)",0,0,0,0,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Ovidiu Buidoso","Romania",25,1.77,NA,"M",NA,"BOCSA (ROU)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Aliaksandr Buikevich","Belarus",27,1.91,75,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre, Men's Team Sabre"
"Alexandra Bujdoso","Germany",22,1.6,53,"F",1990-05-03,"",0,0,0,0,"Fencing","Women's Individual Sabre"
"Cristina Bujin","Romania",24,1.72,53,"F",1988-12-04,"Constanta (ROU)",0,0,0,0,"Athletics","Women's Triple Jump"
"Barbara Bujka","Hungary",25,1.74,84,"F",1986-05-09,"",0,0,0,0,"Water Polo","Women's Water Polo"
"Andela Bulatovic","Montenegro",25,1.75,65,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Katarina Bulatovic","Montenegro",27,1.86,71,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Diana Laura Bulimar","Romania",16,1.4,NA,"F",NA,"Timisoara (ROU)",0,0,1,1,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Ivan Buljubasic","Croatia",24,1.98,108,"M",NA,"",0,0,0,0,"Water Polo","Men's Water Polo"
"Jose Carlos Bulnes","Cuba",22,NA,NA,"M",NA,"Ciudad Habana (CUB)",0,0,0,0,"Canoe Sprint","Men's Canoe Double (C2) 1000m"
"Michael Bultheel","Belgium",26,1.89,81,"M",NA,"IEPER (BEL)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"Gamze Bulut","Turkey",20,NA,NA,"F",1992-03-08,"ESKISEHIR (TUR)",0,0,0,0,"Athletics","Women's 1500m"
"Denis Buntic","Croatia",29,1.99,110,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Erica Buratto","Italy",27,1.72,60,"F",NA,"Udine (ITA)",0,0,0,0,"Swimming","Women's 4x200m Freestyle Relay"
"Roy Burch","Bermuda",26,1.85,80,"M",NA,"Paget (BER)",0,0,0,0,"Swimming","Men's 50m Freestyle"
"Clark Burckle","United States of America",24,1.83,88,"M",NA,"Louisville (USA)",0,0,0,0,"Swimming","Men's 200m Breaststroke"
"Mikolaj Burda","Poland",30,1.92,98,"M",1982-08-07,"",0,0,0,0,"Rowing","Men's Eight"
"Louise Burgaard","Denmark",19,1.76,72,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Nathan Burgers","Australia",33,1.85,82,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Matiss Burgis","Latvia",22,1.89,75,"M",NA,"PRIEKULE (LAT)",0,0,0,0,"Table Tennis","Men's Singles"
"Lely Berlitt Burgos Ortiz","Puerto Rico",27,NA,48,"F",1985-06-06,"PONCE",0,0,0,0,"Weightliftng","Women's 48kg"
"Ilona Burgrova","Czech Republic",28,1.95,87,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Damir Buric","Croatia",31,2.05,115,"M",1980-02-12,"Pula (CRO)",0,0,0,0,"Water Polo","Men's Water Polo"
"Gelete Burka","Ethiopia",26,1.6,43,"F",NA,"Arsi (ETH)",0,0,0,0,"Athletics","Women's 5000m"
"Steven Burke","Great Britain",24,1.83,74,"M",1988-04-03,"BURNLEY (GBR)",0,0,0,0,"Cycling-Trck","Men's Team Pursuit"
"Olena Burkovska","Ukraine",30,1.58,50,"F",1981-09-08,"Kyiv Region (UKR)",0,0,0,0,"Athletics","Women's Marathon"
"Peter Burling","New Zealand",21,1.86,82,"M",1991-01-01,"Tauranga (NZL)",0,0,0,0,"Sailing","Men's 49er"
"Kateryna Burmistrova","Ukraine",32,1.7,75,"F",NA,"Sumy (UKR)",0,0,0,0,"Wrestling","Women's 72kg Freestyle"
"Derek Burnett","Ireland",41,1.78,88,"M",NA,"Westmeath (IRL)",0,0,0,0,"Shooting","Men's Trap"
"Jason Burnett","Canada",25,1.65,NA,"M",NA,"ETOBICOKE (CAN)",0,0,0,0,"Trampoline","Men's Trampoline"
"Simon Burnett","Great Britain",29,1.89,82,"M",NA,"Oxford (GBR)",0,0,0,0,"Swimming","Men's 4x100m Freestyle Relay"
"Marc Burns","Trinidad and Tobago",29,1.85,88,"M",1983-07-01,"Port of Spain (TRI)",0,0,0,0,"Athletics","Men's 100m, Men's 4 x 100m Relay"
"Jordan Ernest Burroughs","United States of America",24,1.73,74,"M",1988-08-07,"Camden (USA)",0,0,0,0,"Wrestling","Men's 74kg Freestyle"
"David Burrows","Ireland",35,1.93,106,"M",1977-11-05,"Dublin (IRL)",0,0,0,0,"Sailing","Men's Star"
"Phillip Burrows","New Zealand",32,1.82,78,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Olia Burtaev","Australia",17,1.7,NA,"F",NA,"SOUTH BRISBANE (AUS)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Christopher Burton","Australia",30,1.8,70,"M",NA,"TOOWOMBA (AUS)",0,0,0,0,"Equestrian","Individual Eventing, Team Eventing, HP LEILANI"
"Euan Burton","Great Britain",33,1.82,81,"M",NA,"Ascot (GBR)",0,0,0,0,"Judo","Men's -81kg"
"Alexander Bury","Belarus",24,2.03,93,"M",NA,"",0,0,0,0,"Tennis","Men's Doubles"
"Olena Buryak","Ukraine",24,1.94,88,"F",1988-08-02,"",0,0,0,0,"Rowing","Women's Double Sculls"
"Janeth Jepkosgei Busienei","Kenya",28,1.58,48,"F",NA,"Keiyo (KEN)",0,0,0,0,"Athletics","Women's 800m"
"Andrei Busila","Romania",31,1.91,92,"M",1980-10-11,"Bucuresti (ROU)",0,0,0,0,"Water Polo","Men's Water Polo"
"Andro Buslje","Croatia",26,2,115,"M",1986-04-01,"Dubrovnik (CRO)",0,0,0,0,"Water Polo","Men's Water Polo"
"Alberto Busnari","Italy",33,1.72,NA,"M",1978-04-10,"Milano (ITA)",0,0,0,0,"Gymnstcs-Art","Men's Team, Men's Qualification"
"Elise Bussaglia","France",26,1.63,56,"F",NA,"",0,0,0,0,"Football","Women's Football"
"David Bustos","Spain",21,1.81,65,"M",NA,"PALMA DE MALLORCA (ESP)",0,0,0,0,"Athletics","Men's 1500m"
"Esteban Bustos Rodriguez","Chile",19,1.65,60,"M",NA,"Santiago (CHI)",0,0,0,0,"ModrnPntthln","Men's Modern Pentathlon"
"Urige Buta","Norway",33,NA,NA,"M",NA,"Ambo (ETH)",0,0,0,0,"Athletics","Men's Marathon"
"Chatchai Butdee","Thailand",27,1.66,NA,"M",NA,"PRACHIN BURI (THA)",0,0,0,0,"Boxing","Men's Fly (52kg)"
"Olga Butkevych","Great Britain",26,1.6,55,"F",1986-03-01,"ZAPOROJ'E (UKR)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"Alexander Butko","Russian Federation",26,1.98,97,"M",NA,"Grodno ()",0,0,0,0,"Volleyball","Men's Volleyball"
"Jack Butland","Great Britain",19,1.95,95,"M",1993-10-03,"",0,0,0,0,"Football","Men's Football"
"Kim Butler","Great Britain",29,1.88,80,"F",1982-07-09,"",0,0,0,0,"Basketball","Women's Basketball"
"Vitaliy Butrym","Ukraine",21,1.78,67,"M",1991-10-01,"SUMY REGION (UKR)",0,0,0,0,"Athletics","Men's 400m"
"Imran Butt","Pakistan",24,NA,NA,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Linus Butt","Germany",25,1.86,85,"M",1987-12-03,"",0,0,0,0,"Hockey","Men's Hockey"
"Rehan Butt","Pakistan",32,NA,NA,"M",1980-06-07,"",0,0,0,0,"Hockey","Men's Hockey"
"Tyler Butterfield","Bermuda",29,1.81,75,"M",1983-12-02,"Hamilton (BER)",0,0,0,0,"Triathlon","Men's Triathlon"
"Matthew Butturini","Australia",24,1.81,81,"M",1987-07-08,"",0,0,0,0,"Hockey","Men's Hockey"
"Kimberly Buys","Belgium",23,1.87,72,"F",NA,"SINT",0,0,0,0,"Swimming","Women's 100m Butterfly, Women's 100m Backstroke"
"Philip Buys","South Africa",23,1.87,74,"M",NA,"Durban (RSA)",0,0,0,0,"Cyclng-MntnB","Men's Cross-country"
"Derya Buyukuncu","Turkey",36,NA,NA,"M",1976-02-07,"GAZIANTEP (TUR)",0,0,0,0,"Swimming","Men's 200m Backstroke"
"Paulina Buziak","Poland",25,1.7,50,"F",NA,"Mielec (POL)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Moran Buzovski","Israel",20,1.73,NA,"F",NA,"PETAH TIQWA (ISR)",0,0,0,0,"Gymnstcs-Rhy","Group All-Around"
"Tuvshinbat Byamba","Mongolia",25,1.74,NA,"M",NA,"Ulaanbaatar (MGL)",0,0,0,0,"Boxing","Men's Welter (69kg)"
"Igor Bychkov","Spain",25,1.89,83,"M",1987-07-03,"DONETZ (UKR)",0,0,0,0,"Athletics","Men's Pole Vault"
"Dremiel Deshon Byers","United States of America",37,1.88,120,"M",1974-11-09,"Newark (USA)",0,0,0,0,"Wrestling","Men's 120kg Greco-Roman"
"Pavel Bykov","Russian Federation",30,1.8,80,"M",1982-04-24,"",0,0,0,0,"Fencing","Men's Team Sabre"
"Lyn Byl","Great Britain",32,1.72,67,"F",1979-01-12,"",0,0,0,0,"Handball","Women's Handball"
"Linda Byrne","Ireland",26,1.63,50,"F",NA,"Dublin (IRL)",0,0,0,0,"Athletics","Women's Marathon"
"Andrew Byrnes","Canada",29,2,98,"M",NA,"",0,1,0,1,"Rowing","Men's Eight"
"Youngjun Byun","Republic of Korea",28,1.75,58,"M",NA,"ULSAN (KOR)",0,0,0,0,"Athletics","Men's 20km Race Walk"
"Barbara Gasser","Austria",22,1.65,NA,"F",NA,"Bregenz (AUT)",0,0,0,0,"Gymnstcs-Art","Women's Qualification"
"Barbara Parker","Great Britain",29,1.71,52,"F",1982-08-11,"Watford (GBR)",0,0,0,0,"Athletics","Women's 3000m Steeplechase, Women's 5000m"
"Beate Gauss","Germany",27,1.71,68,"F",1984-10-08,"TUBINGEN (GER)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"Ben Hawes","Great Britain",32,1.76,76,"M",NA,"",0,0,0,0,"Hockey","Men's Hockey"
"Benjamin Cureton","Australia",31,1.84,70,"M",1981-11-02,"",0,0,0,0,"Rowing","Men's Lightweight Four"
"Berit Kristensen","Denmark",29,1.72,69,"F",1983-02-08,"",0,0,0,0,"Handball","Women's Handball"
"Betsy Hassett","New Zealand",21,1.57,55,"F",1990-04-08,"",0,0,0,0,"Football","Women's Football"
"Betty Heidler","Germany",28,1.75,83,"F",NA,"Berlin (GER)",0,0,0,0,"Athletics","Women's Hammer Throw"
"Bianca Del Carretto","Italy",26,1.73,54,"F",NA,"",0,0,0,0,"Fencing","Women's Individual Epee, Women's Team Epee"
"Binyuan Hu","People's Republic of China",34,1.8,67,"M",1977-07-11,"Shanghai (CHN)",0,0,0,0,"Shooting","Men's Double Trap"
"Bjoern Huebner","Germany",26,1.82,83,"M",1986-01-22,"",0,0,0,0,"Fencing","Men's Team Sabre"
"Blake Gaudry","Australia",20,1.78,NA,"M",NA,"Baulkham Hills (AUS)",0,0,0,0,"Trampoline","Men's Trampoline"
"Blazenko Lackovic","Croatia",31,1.96,99,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
"Bo Bae Ki","Republic of Korea",24,1.68,55,"F",NA,"Gyeonggi",2,0,0,2,"Archery","Women's Individual, Women's Team"
"Boglarka Kapas","Hungary",19,1.67,56,"F",NA,"DEBRECEN (HUN)",0,0,0,0,"Swimming","Women's 400m Freestyle, Women's 800m Freestyle"
"Bojana Popovic","Montenegro",32,1.85,74,"F",NA,"",0,0,0,0,"Handball","Women's Handball"
"Bongil Gu","Republic of Korea",23,1.8,65,"M",NA,"",0,0,0,0,"Fencing","Men's Individual Sabre, Men's Team Sabre"
"Boonsak Ponsana","Thailand",30,1.78,68,"M",NA,"BANGKOK",0,0,0,0,"Badminton","Men's Singles"
"Breeja Larson","United States of America",20,1.83,73,"F",NA,"Mesa (USA)",0,0,0,0,"Swimming","Women's 100m Breaststroke, Women's 4x100m Medley Relay"
"Brent Hayden","Canada",28,1.93,86,"M",NA,"MAPLE RIDGE (CAN)",0,0,1,1,"Swimming","Men's 50m Freestyle, Men's 100m Freestyle, Men's 4x100m Freestyle Relay, Men's 4x100m Medley Relay"
"Brent Larue","Slovenia",25,1.93,85,"M",NA,"Arlington Heights (USA)",0,0,0,0,"Athletics","Men's 400m Hurdles"
"Brian Mariano","Netherlands",27,1.82,86,"M",NA,"Curazzzao ()",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"Bridgitte Hartley","South Africa",29,1.73,66,"F",NA,"Johannesburg (RSA)",0,0,0,0,"Canoe Sprint","Women's Kayak Single (K1) 500m"
"Brigitte Merlano","Colombia",30,1.72,60,"F",NA,"BARRANQUILLA (COL)",0,0,0,0,"Athletics","Women's 100m Hurdles"
"Britta Heidemann","Germany",29,1.8,71,"F",NA,"",0,1,0,1,"Fencing","Women's Individual Epee, Women's Team Epee"
"Bruno Ecuele","Gabon",24,1.87,72,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Bruno Fontes","Brazil",32,1.75,83,"M",NA,"Curitiba (BRA)",0,0,0,0,"Sailing","Men's Laser"
"Byron Patricio Guama de la Cruz","Ecuador",27,1.7,61,"M",NA,"ESPEJO (ECU)",0,0,0,0,"Cycling-Road","Men's Road Race"
"Juan Sebastian Cabal","Colombia",26,1.85,80,"M",NA,"",0,0,0,0,"Tennis","Men's Doubles"
"Dailis Caballero","Cuba",24,NA,NA,"F",1988-06-03,"Ciudad Habana (CUB)",0,0,0,0,"Athletics","Women's Pole Vault"
"Denia Caballero","Cuba",22,NA,NA,"F",NA,"Villa Clara (CUB)",0,0,0,0,"Athletics","Women's Discus Throw"
"Yolanda Caballero","Colombia",30,1.55,46,"F",1982-09-03,"Bogota (COL)",0,0,0,0,"Athletics","Women's Marathon"
"Ana Cabecinha","Portugal",28,1.64,48,"F",NA,"Beja (POR)",0,0,0,0,"Athletics","Women's 20km Race Walk"
"Alba Cabello Rodilla","Spain",26,1.63,NA,"F",NA,"Madrid (ESP)",0,0,0,0,"SynchrnsdSwm","Women's Teams"
"Donald Cabral","United States of America",22,1.78,67,"M",1989-12-12,"GLASTONBURY (USA)",0,0,0,0,"Athletics","Men's 3000m Steeplechase"
"Rachelle Anne Cabral","Philippines",27,1.7,74,"F",1985-10-04,"TUGUEGARAO, CAGAYAN VALLEY",0,0,0,0,"Archery","Women's Individual"
"Milagros Cabral de la Cruz","Dominican Republic",33,1.81,63,"F",NA,"Santo Domingo (DOM)",0,0,0,0,"Volleyball","Women's Volleyball"
"Eusebio Caceres","Spain",20,1.74,69,"M",1991-10-09,"ONIL (ESP)",0,0,0,0,"Athletics","Men's Long Jump"
"Ignacio Caceres","Spain",36,1.65,53,"M",NA,"Barcelona (ESP)",0,0,0,0,"Athletics","Men's Marathon"
"Erik Cadee","Netherlands",28,2.01,120,"M",NA,"S",0,0,0,0,"Athletics","Men's Discus Throw"
"Maaike Caelers","Netherlands",21,1.67,53,"F",1990-02-09,"WEERT (NED)",0,0,0,0,"Triathlon","Women's Triathlon"
"Quazi Syque Caesar","Bangladesh",21,1.58,NA,"M",NA,"Florida (USA)",0,0,0,0,"Gymnstcs-Art","Men's Qualification"
"Erin Cafaro","United States of America",29,1.75,75,"F",1983-09-06,"",1,0,0,1,"Rowing","Women's Eight"
"Bahar Caglar","Turkey",23,1.9,76,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Tania Cagnotto","Italy",27,1.6,54,"F",NA,"Bolzano (ITA)",0,0,0,0,"Diving","Women's 3m Springboard, Women's Synchronised 3m Springboard"
"Yun Cai","People's Republic of China",32,1.82,72,"M",NA,"Jiangsu",0,0,0,0,"Badminton","Men's Doubles"
"Zelin Cai","People's Republic of China",21,1.72,55,"M",1991-11-04,"Yunnan (CHN)",0,0,0,0,"Athletics","Men's 20km Race Walk"
"Andrea Caianiello","Italy",24,1.83,73,"M",NA,"",0,0,0,0,"Rowing","Men's Lightweight Four"
"Nelcy Caicedo","Colombia",22,1.62,60,"F",NA,"ISTMINA (COL)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"Chiara Cainero","Italy",34,1.7,75,"F",NA,"Udine (ITA)",0,0,0,0,"Shooting","Women's Skeet"
"Imogen Cairns","Great Britain",23,1.56,NA,"F",NA,"Bristol (GBR)",0,0,0,0,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Tandara Caixeta","Brazil",23,1.84,87,"F",NA,"",0,0,0,0,"Volleyball","Women's Volleyball"
"Mustafa Cakir","Turkey",25,1.84,85,"M",NA,"SINOP (TUR)",0,0,0,0,"Sailing","Men's Laser"
"Asli Cakir Alptekin","Turkey",26,1.68,50,"F",NA,"ANTALYA (TUR)",0,0,0,0,"Athletics","Women's 1500m"
"David Cal Figueroa","Spain",29,1.83,87,"M",1982-10-10,"",0,0,0,0,"Canoe Sprint","Men's Canoe Single (C1) 1000m"
"Lucas Calabrese","Argentina",25,1.68,61,"M",1986-12-12,"Buenos Aires (ARG)",0,0,0,0,"Sailing","Men's 470"
"David Calder","Canada",34,1.95,90,"M",NA,"",0,0,0,0,"Rowing","Men's Pair"
"Jose Calderon","Spain",30,1.91,90,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Hilary Caldwell","Canada",21,1.73,63,"F",NA,"London (CAN)",0,0,0,0,"Swimming","Women's 200m Backstroke"
"Quentin Caleyron","France",24,1.86,92,"M",NA,"SAINT",0,0,0,0,"Cycling-BMX","Men's BMX"
"Briken Calja","Albania",22,1.69,69,"M",NA,"SHTERMEN ELBASAN",0,0,0,0,"Weightliftng","Men's 69kg"
"Leah Mariem Lorraine Callahan","Canada",25,1.61,72,"F",NA,"ST.JOHN'S (CAN)",0,0,0,0,"Wrestling","Women's 72kg Freestyle"
"Maria Luisa Calle Williams","Colombia",43,1.68,52,"F",1968-03-10,"MEDELLIN (COL)",0,0,0,0,"Cycln-Rd,C-T","Women's Individual Time Trial, Women's Omnium"
"Emmanuel Callender","Trinidad and Tobago",28,1.89,86,"M",1984-10-05,"Port of Spain (TRI)",0,0,0,0,"Athletics","Men's 4 x 100m Relay"
"Facundo Callioni","Argentina",26,1.82,77,"M",1985-09-10,"",0,0,0,0,"Hockey","Men's Hockey"
"Carole Calmes","Luxembourg",33,1.58,60,"F",1978-10-09,"Luxembourg (LUX)",0,0,0,0,"Shooting","Women's 10m Air Rifle"
"Daniel Caluag","Philippines",25,1.67,77,"M",NA,"HARBOR CITY, CALIFORNIA (USA)",0,0,0,0,"Cycling-BMX","Men's BMX"
"Schillonie Calvert","Jamaica",24,1.35,54,"F",NA,"St James (JAM)",0,0,0,0,"Athletics","Women's 4 x 100m Relay"
"Maximiliano Calzada","Uruguay",22,1.7,69,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Chakyl Pfiffer Camal","Mozambique",22,1.85,83,"M",NA,"MAPUTO  CITY (MOZ)",0,0,0,0,"Swimming","Men's 50m Freestyle"
"Alyn Camara","Germany",23,1.96,85,"M",NA,"BERGISCH GLADBACH (GER)",0,0,0,0,"Athletics","Men's Long Jump"
"Dede Camara","Guinea",21,1.59,61,"F",NA,"FRIA (GUI)",0,0,0,0,"Swimming","Women's 100m Breaststroke"
"Moussa Camara","Mali",24,NA,NA,"M",1988-12-02,"Bamako (MLI)",0,0,0,0,"Athletics","Men's 800m"
"Papa Camara","Senegal",19,1.96,70,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Jillian Camarena-Williams","United States of America",30,1.78,113,"F",1982-02-03,"Vallejo (USA)",0,0,0,0,"Athletics","Women's Shot Put"
"Elizabeth Cambage","Australia",20,2.03,98,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Ivan Cambar Rodriguez","Cuba",28,NA,77,"M",NA,"GRANMA",0,0,1,1,"Weightliftng","Men's 77kg"
"Katrina Cameron","Canada",17,1.57,NA,"F",1995-09-05,"MISSISSAUGA (CAN)",0,0,0,0,"Gymnstcs-Rhy","Group All-Around"
"Tiago Camilo","Brazil",30,1.8,90,"M",NA,"TUPA (BRA)",0,0,0,0,"Judo","Men's -90kg"
"Roberto Cammarelle","Italy",32,1.91,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Super Heavy (+91kg)"
"Lucas Cammareri","Argentina",31,1.76,72,"M",1981-04-04,"",0,0,0,0,"Hockey","Men's Hockey"
"Giorgia Campana","Italy",17,1.52,NA,"F",NA,"Roma (ITA)",0,0,0,0,"Gymnstcs-Art","Women's Team, Women's Qualification"
"Martin Campana","Uruguay",23,1.85,75,"M",NA,"",0,0,0,0,"Football","Men's Football"
"Facundo Campazzo","Argentina",21,1.79,88,"M",NA,"",0,0,0,0,"Basketball","Men's Basketball"
"Alan Campbell","Great Britain",29,1.91,96,"M",1983-09-05,"",0,0,1,1,"Rowing","Men's Single Sculls"
"Amber Campbell","United States of America",31,1.7,91,"F",1981-05-06,"Cincinnati (USA)",0,0,0,0,"Athletics","Women's Hammer Throw"
"Bronte Campbell","Australia",18,1.79,58,"F",NA,"Blantyre (MAW)",0,0,0,0,"Swimming","Women's 50m Freestyle"
"Cate Campbell","Australia",20,1.86,67,"F",NA,"Blantyre (MAW)",1,0,0,1,"Swimming","Women's 50m Freestyle, Women's 100m Freestyle, Women's 4x100m Freestyle Relay, Women's 4x100m Medley Relay"
"Kelsey Campbell","United States of America",27,1.63,55,"F",1985-05-06,"Anchorage (USA)",0,0,0,0,"Wrestling","Women's 55kg Freestyle"
"Logan Campbell","New Zealand",26,1.77,NA,"M",1986-07-06,"Auckland (NZL)",0,0,0,0,"Taekwondo","Men's -68kg"
"Luke Campbell","Great Britain",24,1.75,NA,"M",NA,"",0,0,0,0,"Boxing","Men's Bantam (56kg)"
"Richie Campbell","Australia",24,1.93,99,"M",NA,"Waratah (AUS)",0,0,0,0,"Water Polo","Men's Water Polo"
"Veronica Campbell-Brown","Jamaica",30,1.6,61,"F",NA,"Trelawny (JAM)",0,0,0,0,"Athletics","Women's 100m, Women's 200m, Women's 4 x 100m Relay"
"Pietro Camporesi","Italy",24,1.82,72,"M",NA,"Bologna (ITA)",0,0,0,0,"Canoe Slalom","Men's Canoe Double (C2)"
"Hector Campos","Argentina",23,1.88,90,"M",NA,"Rio Negro (ARG)",0,0,0,0,"Judo","Men's -90kg"
"Astrid Roxana Camposeco Hernandez","Guatemala",21,1.67,84,"F",NA,"QUETZALTENANGO",0,0,0,0,"Weightliftng","Women's +75kg"
"Niccolo Campriani","Italy",24,1.77,75,"M",1987-06-11,"Firenze (ITA)",0,1,0,1,"Shooting","Men's 10m Air Rifle, Men's 50m Rifle Prone, Men's 50m Rifle 3 Positions"
"Catarina Camufal","Angola",32,1.68,67,"F",NA,"",0,0,0,0,"Basketball","Women's Basketball"
"Fabian Cancellara","Switzerland",31,1.86,81,"M",NA,"Bern (SUI)",0,0,0,0,"Cycling-Road","Men's Individual Time Trial, Men's Road Race"
"Joan Canellas Reixach","Spain",25,1.98,100,"M",NA,"",0,0,0,0,"Handball","Men's Handball"
